title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Effects of aprotic solvents on the stability of metal-free superoxide dismutase probed by native electrospray ionization-ion mobility-mass spectrometry.,10.1002/jms.4341,2019,Acetonitrile,"The abstract discusses the use of dimethylformamide (DMF) as a cosolvent and indicates that it can protect against the unfolding and dissociation of apo-SOD1, suggesting a safety advantage over acetonitrile (ACN) since ACN does not have similar protective effects. This implies that DMF is a safer alternative to ACN in this context.",dimethylformamide (DMF),
"Analytical Quality by Design Enabled Green RP‐HPLC Method Development and Validation for the Simultaneous Quantitation of the Cleaning Residues of Osimertinib, Binimetinib, and Erdafitinib: An Approach to Prevent the Cross‐Contamination in Shared Facilities of Pharmaceutical Manufacturing",10.1002/sscp.70102,2025,Acetonitrile,"The abstract explicitly states that acetonitrile was replaced with methanol as a green solvent to reduce environmental impact, indicating that methanol is a safer alternative to acetonitrile in this context.",methanol,
Acetonitrile ingestion: delayed onset of cyanide poisoning due to concurrent ingestion of acetone.,10.1136/pgmj.66.771.40,1990,Acetonitrile,"The abstract discusses acetone in the context of acetonitrile ingestion, indicating that acetone slows the metabolism of acetonitrile to cyanide, which suggests a safety advantage. This implies that acetone may serve as a safer alternative to acetonitrile by delaying toxicity.",acetone,"fatal toxicity from ingestion, cardiovascular collapse, profound metabolic acidosis, delayed cyanide toxicity"
Comparison of the effectiveness of recent extraction procedures for antibiotic residues in bovine muscle tissues.,10.1093/JAOAC/94.3.991,2011,Acetonitrile,"The abstract compares Acetonitrile extraction with pressurized liquid extraction (PLE) using water and states that PLE with water almost eliminates the use or generation of hazardous wastes, implying a safety advantage. This suggests that PLE with water is a safer alternative to Acetonitrile for extraction.",water,
The conformations of two copper(I) complexes of 1H-benzimidazole-2(3H)-thione and thiosaccharinate.,10.1107/S0108270111052036,2012,Acetonitrile,"The abstract describes a new copper(I) complex where acetonitrile is substituted by an additional Sbim ligand. This substitution implies a potential alternative to acetonitrile, although it does not explicitly state that the new complex is safer. However, the context suggests a replacement in a typical use-case involving acetonitrile.",,
Design and Characterization of Nanocrystals of Lovastatin for Solubility and Dissolution Enhancement,10.4172/2157-7439.1000107,2011,Acetonitrile,"The abstract compares drug formulations using acetone and methanol as solvents to those using acetonitrile, stating that formulations with acetone and methanol result in smaller particle size, higher saturation solubility, and faster dissolution rate, while acetonitrile formulations have larger particle size and lower solubility and dissolution. It also mentions that nanonisation leads to safer dosage forms, implying safety advantages of the acetone and methanol solvents over acetonitrile. Therefore, acetone and methanol are presented as safer alternatives to acetonitrile.",acetone; methanol,
Validation of An HPLC Method for the Determination of Some Β-Lactams Antibiotics Using A Green Analytical Technique,10.22146/ijp.8161,2024,Acetonitrile,"The abstract explicitly states that ethanol is used as a green replacement for acetonitrile, indicating that it is considered a safer alternative in the context of analytical procedures. This suggests a direct comparison in terms of safety and environmental friendliness.",ethanol,
"Two New HPLC Methods, Assessed by GAPI, for Simultaneous Determination of Four Antipsychotics in Pharmaceutical Formulations: A Comparative Study",10.3390/separations9080220,2022,Acetonitrile,"The abstract explicitly mentions that green solvents, such as ethanol, are being used in HPLC as an alternative to acetonitrile, indicating that ethanol is considered a safer option. This suggests a direct comparison in terms of safety, as it implies a reduction in environmental hazards associated with acetonitrile.",ethanol,
An Improved Procedure for the Synthesis of Amantadine Hydrochloride,10.1080/00304948.2022.2027202,2022,Acetonitrile,"The abstract explicitly states that adopting formamide instead of acetonitrile results in a safer process, indicating that formamide is a safer alternative. It highlights the reduction of toxic reagents and solvents, which implies a safety advantage over acetonitrile.",formamide,
"A validated eco-friendly, operation-safe, and cost-effective RP-HPLC method for the determination of dodine in their pesticide dosage forms using ethanol:water as mobile phase",10.1080/03067319.2022.2144270,2022,Acetonitrile,"The abstract explicitly states that ethanol was used to replace the more hazardous acetonitrile and methanol, describing ethanol as a safe and eco-friendly solvent. It highlights safety advantages such as the use of safe solvents, minimal waste production, and eco-friendliness, indicating ethanol as a safer alternative to acetonitrile.",ethanol,
Assessment of acetone as an alternative to acetonitrile in peptide analysis by liquid chromatography/mass spectrometry.,10.1002/rcm.4122,2009,Acetonitrile,"The abstract explicitly compares acetone to acetonitrile and highlights that acetone has a higher LD50 value, indicating lower toxicity. This suggests that acetone is a safer alternative to acetonitrile in the context of liquid chromatography/mass spectrometry.",acetone,"relatively toxic solvent, oral toxicity (LD50 oral; rat; 2,460 mg/kg)"
Differences in Photophysical Properties and Photochemistry of Ru(II)-Terpyridine Complexes of CH3CN and Pyridine.,10.1021/acs.jpca.3c07432,2024,Acetonitrile,"The abstract discusses the photostability of pyridine complexes compared to acetonitrile complexes, indicating that pyridine does not undergo photodissociation under the same conditions. This suggests that pyridine may be a safer alternative due to its stability and lack of photodissociation, which can be interpreted as a safety advantage over acetonitrile.",pyridine,
New Trend in the LC Separation Analysis of Pharmaceuticals – High Performance Separation by Ultra High-performance Liquid Chromatography (UHPLC) with Core-shell Particle C18 Columns –,10.2116/ANALSCI.30.205,2014,Acetonitrile,"The abstract mentions that methanol can be used without trouble and indicates that it gives high column pressure drops in reversed-phase mode HPLC compared to acetonitrile. This suggests that methanol may be a safer alternative due to its compatibility and performance in the context of UHPLC, although it does not explicitly state safety advantages such as lower toxicity or environmental risks.",,
The Electrogenerated Cyanomethyl Anion: An Old Base Still Smart.,10.1021/acs.accounts.9b00465,2019,Acetonitrile,"The abstract discusses the electrogeneration of the cyanomethyl anion as a strong base that can replace acetonitrile in various reactions, particularly noting that it generates no byproducts when transforming into a solvent molecule, acetonitrile. This implies a safer alternative due to the lack of byproducts and the efficient use of the cyanomethyl anion in reactions, suggesting lower environmental impact compared to traditional acetonitrile use.",,
Heterogeneously Catalyzed Synthesis of Imidazolones via Cycloisomerizations of Propargylic Ureas Using Ag and Au/Al SBA-15 Systems,10.1021/ACSSUSCHEMENG.9B00198,2019,Acetonitrile,"The abstract mentions that a range of solvents was replaced by the greener ethanol, which implies a safer alternative to the solvents previously used, including acetonitrile. The term 'greener' suggests lower toxicity and environmental impact compared to acetonitrile.",ethanol,
