title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Pump-and-treat enhanced in situ chemical oxidation for 1,2-dichloroethane remediation: sandbox simulation and field-scale application",10.1016/j.jwpe.2025.108263,2025,"1,2-dichloroethane","The abstract discusses the development of a pump-and-treat enhanced in situ chemical oxidation system using sodium persulphate, which is implied to be a safer and more effective method for remediating groundwater contaminated by 1,2-dichloroethane. It highlights significant improvements in remediation efficiency and reduced environmental risks, suggesting that this method serves as a safer alternative to conventional ISCO methods that utilize 1,2-dichloroethane.",sodium persulphate,
"Headspace GC/MS Analysis of Residual Solvents in Dietary Supplements, Cosmetics, and Household Products Using Ethyl Lactate as a Dissolution Medium.",10.5740/jaoacint.19-0260,2020,"1,2-dichloroethane","The abstract presents ethyl lactate (EL) as a solvent with low toxicity and less environmental impact, indicating it as a safer alternative to DMSO and DMF. While it does not explicitly compare EL to 1,2-dichloroethane, the context of establishing a safer dissolution medium implies a relative safety advantage in the conventional use-case involving toxic solvents, including 1,2-dichloroethane.",ethyl lactate,
Green Catalytic Synthesis of Ethylenediamine from Ethylene Glycol and Monoethanolamine: A Review,10.1021/acsomega.4c00709,2024,"1,2-dichloroethane","The abstract explicitly states that the catalytic amination of ethylene glycol (EG) is an 'economical and environmentally benign route' compared to the 'industrial approach of ammonolysis of 1,2-dichloroethane', indicating that this method is a safer alternative to 1,2-dichloroethane.",ethylene glycol (EG),
Research on the Anti-Corrosion Performance of HNS Spill Containment Materials on Water,10.1109/ICTIS68762.2025.11214849,2025,"1,2-dichloroethane","The abstract indicates that EPDM rubber outperforms PVC in corrosion resistance and is suitable for containment applications involving 1,2-dichloroethane, suggesting it is a safer alternative in this context.",EPDM rubber,
Extraction of β-carotene from peppers by means of certain organic solvents,10.1051/bioconf/202412201019,2024,"1,2-dichloroethane","The abstract indicates that isopropanol is the best organic solvent for extracting β-carotene from peppers, suggesting it has superior extraction ability compared to 1,2-dichloroethane. This implies that isopropanol may be a safer alternative due to its effectiveness in extraction without highlighting the safety concerns of 1,2-dichloroethane directly.",isopropanol,
Electron Fluxes in Biocathode Bioelectrochemical Systems Performing Dechlorination of Chlorinated Aliphatic Hydrocarbons,10.3389/fmicb.2018.02306,2018,"1,2-dichloroethane","The abstract discusses the dechlorination of 1,2-dichloroethane (1,2-DCA) using a biocathode bioelectrochemical system, which results in the production of non-toxic ethene as the final metabolite. This indicates a safer alternative to 1,2-dichloroethane due to the non-toxic nature of the end product.",ethene,
"Involvement of CYP2E1 in the Course of Brain Edema Induced by Subacute Poisoning With 1,2-Dichloroethane in Mice",10.3389/fphar.2018.01317,2018,"1,2-dichloroethane","The abstract discusses the effects of diallyl sulfide (DAS) as an intervention in mice poisoned with 1,2-dichloroethane, showing improvements in brain edema and oxidative damage. This suggests that DAS may serve as a safer alternative to 1,2-dichloroethane, as it mitigates the harmful effects associated with 1,2-DCE exposure.",diallyl sulfide (DAS),"induced brain edema, oxidative damage, tight junction disruption"
"Distinct Catalytic Behaviors between Two 1,4-Dioxane Degrading Monooxygenases: Kinetics, Inhibition, and Substrate Range.",10.1021/acs.est.9b05671,2019,"1,2-dichloroethane","The abstract discusses the catalytic behavior of propane monooxygenase (PRM) in degrading 1,4-dioxane and its ability to also break down chlorinated pollutants, including 1,2-dichloroethane. It suggests that PRM may be more physiologically and ecologically advantageous, indicating a safer alternative to conventional methods involving 1,2-dichloroethane.",propane monooxygenase (PRM),
"Caffeic acid phenethyl ester alleviates 1,2-dichloroethane-induced toxic cerebral edema: central and peripheral mechanisms",10.3389/fphar.2025.1734227,2026,"1,2-dichloroethane","The abstract presents caffeic acid phenethyl ester (CAPE) as a protective agent against the toxic effects of 1,2-dichloroethane, indicating its potential as a safer alternative by alleviating cerebral edema and reducing inflammation and oxidative stress associated with 1,2-DCE exposure.",caffeic acid phenethyl ester (CAPE),"toxic cerebral edema, inflammation, oxidative stress"
Ipso‐Nitration of p‐tert‐Butylcalix[4]arenes with tert‐Butyl Nitrite,10.1002/slct.202500878,2025,"1,2-dichloroethane","The abstract indicates that tert‐butyl nitrite can be used as an alternative and efficient reagent for ipso‐nitration, suggesting it may serve as a safer alternative to 1,2-dichloroethane, although it does not explicitly state safety advantages. However, the context implies a comparison to conventional methods involving 1,2-dichloroethane.",tert‐butyl nitrite,
"Identification of Catalytic Active Sites in Nitrogen-Doped Carbon for Electrocatalytic Dechlorination of 1,2-Dichloroethane",10.1021/acscatal.9b02853,2019,"1,2-dichloroethane","The abstract indicates that nitrogen (N)-doped carbon materials are considered a promising alternative to noble-metal catalysts for the electrocatalytic dechlorination of 1,2-dichloroethane (DCE). This suggests that these materials may provide a safer option in the context of DCE dechlorination, as they are being proposed as a replacement for conventional catalysts used in this process.",nitrogen-doped carbon,
Rapid removal of detergent in glycolipids using ionic liquids,10.1007/s44211-022-00139-x,2022,"1,2-dichloroethane","The abstract explicitly states that ionic liquids, specifically 1-butyl-3-methylimidazolium iodide, were used as a suitable alternative to 1,2-dichloroethane (DCE) for detergent removal, addressing the drawbacks associated with DCE, such as environmental risks and harmful effects.",1-butyl-3-methylimidazolium iodide,"potentially carcinogenic, environmental risks, high vaporability, flammability"
Catalytic Upcycling of PET: From Waste to Chemicals and Degradable Polymers.,10.1021/acs.accounts.5c00493,2025,"1,2-dichloroethane","The abstract discusses the development of a degradable polyester, poly(ethylene terephthalate)-poly(ethylene-1,4-cyclohexanedicarboxylate) (PET-PECHD), which is presented as a sustainable alternative for packaging materials. This implies a safer alternative to conventional plastics, including 1,2-dichloroethane-based approaches, due to its degradability and preservation of mechanical properties.","poly(ethylene terephthalate)-poly(ethylene-1,4-cyclohexanedicarboxylate) (PET-PECHD)",
"Pd supported catalyst for gas-phase 1,2-dichloroethane abatement: Efficiency and high selectivity towards oxygenated products",10.1016/J.JIEC.2017.08.010,2018,"1,2-dichloroethane","The abstract indicates that the Pd/HAP system does not yield the vinyl chloride intermediate product, which is a known toxic byproduct associated with 1,2-dichloroethane oxidation. This suggests a safety advantage, implying that Pd/HAP could be a safer alternative to conventional systems that utilize 1,2-dichloroethane.",Pd/HAP,
Factors ameliorate pro-inflammatory microglia polarization through inhibition of reactive astrocytes induced by 2-chloroethanol.,10.1016/j.ecoenv.2023.115130,2023,"1,2-dichloroethane","The abstract indicates that fluorocitrate (FC), GIBH-130 (GI), and diacerein (Dia) may serve as potential therapeutic agents for 1,2-dichloroethane (1,2-DCE) poisoning, suggesting they could be safer alternatives by ameliorating the pro-inflammatory effects associated with 1,2-DCE exposure.",fluorocitrate; GIBH-130; diacerein,"neuroinflammatory response, brain edema"
